timestamp,open,high,low,close,volume
2022-09-07,133.0600,135.9650,132.7400,135.7400,5686324
2022-09-06,133.0500,133.6200,130.7200,132.3400,7259518
2022-09-02,134.8500,135.6700,132.4300,133.0000,5744847
2022-09-01,132.5400,135.1400,132.4000,134.4800,7247267
2022-08-31,132.7800,133.7900,131.9300,132.5500,7486916
2022-08-30,133.3400,133.6500,131.7400,132.4800,4822677
2022-08-29,130.8300,133.8650,130.5900,132.8800,5991462
2022-08-26,136.1100,136.8300,131.5150,131.6000,7110615
2022-08-25,135.2800,135.9900,135.0300,135.8700,6471534
2022-08-24,134.3500,135.2950,133.6000,134.9700,5255512
2022-08-23,134.6100,134.9600,133.2100,134.0000,5651696
2022-08-22,136.2000,136.7199,134.4400,134.5700,6222407
2022-08-19,138.9200,139.0700,136.9100,137.0200,7639558
2022-08-18,139.5300,140.4200,138.5000,139.0700,6399178
2022-08-17,138.5700,142.7200,138.4000,139.5200,13930697
2022-08-16,138.9000,140.9300,138.1900,139.3700,30591107
2022-08-15,131.6300,133.5700,131.3567,132.6000,8838708
2022-08-12,130.0000,132.8400,129.8200,132.2200,8874966
2022-08-11,129.7000,130.3700,128.6000,129.8200,7951494
2022-08-10,130.0000,130.1450,128.3900,129.1400,8416994
2022-08-09,127.8900,128.9700,127.2100,128.8700,6441670
2022-08-08,126.6500,128.2125,126.6100,127.6100,6061110
2022-08-05,125.5100,126.8100,125.1200,126.5800,10668955
2022-08-04,130.6700,130.8000,125.3300,125.5700,17702000
2022-08-03,132.1600,132.9400,129.8600,130.5000,10667702
2022-08-02,133.1500,133.7100,131.4000,132.6800,6565006
2022-08-01,131.0600,134.2300,131.0000,132.5400,8332092
2022-07-29,128.3200,132.2650,128.0125,132.0500,10047279
2022-07-28,126.2700,130.5100,126.2700,129.7500,11087444
2022-07-27,121.2400,126.7650,121.0267,126.5900,14053233
2022-07-26,121.1300,122.6900,120.0600,121.9800,31797182
2022-07-25,132.3900,132.6998,131.4582,132.0200,6845054
2022-07-22,132.5400,133.3900,131.2310,132.2100,4538767
2022-07-21,130.6800,132.5600,130.5000,132.5500,6254884
2022-07-20,130.5100,131.3100,129.5000,130.6400,6188272
2022-07-19,129.3900,129.9600,128.6000,129.5600,5665085
2022-07-18,128.6500,130.3000,128.2600,128.7700,4747912
2022-07-15,128.8000,130.2700,128.0500,129.0700,7061417
2022-07-14,124.1600,128.3200,124.1400,127.8200,6968463
2022-07-13,124.4400,126.4600,123.9100,125.3700,4229706
2022-07-12,125.1100,127.1300,124.7200,125.0700,4577423
2022-07-11,125.0200,126.3300,124.6200,125.4500,3844626
2022-07-08,125.8200,126.6100,125.1500,125.4000,4917023
2022-07-07,125.1900,125.5250,124.1200,125.3200,5829096
2022-07-06,124.4800,126.2800,124.3000,125.1300,7100041
2022-07-05,122.2100,124.5100,121.6100,124.2500,6073237
2022-07-01,121.9400,122.9200,121.1600,122.6300,5820323
2022-06-30,120.8800,122.0600,119.8900,121.5800,6388745
2022-06-29,122.8900,123.3500,120.9700,121.9200,6370540
2022-06-28,124.6600,125.5700,122.2900,122.3700,5133858
2022-06-27,123.7800,124.7400,122.7900,124.1200,6629684
2022-06-24,124.0900,125.3100,123.1600,123.7200,10615320
2022-06-23,121.7500,123.9600,121.2000,123.6200,6013643
2022-06-22,122.1000,123.2500,120.5900,120.6900,6748385
2022-06-21,118.3000,122.7800,118.2200,122.1700,7972173
2022-06-17,120.0200,120.8800,117.9700,118.2900,12279631
2022-06-16,118.3500,121.7600,118.2300,120.6200,10235633
2022-06-15,119.9700,120.4100,117.9029,119.3800,8637951
2022-06-14,119.1300,120.0000,118.1700,119.4600,7181447
2022-06-13,119.7400,121.2400,119.0900,119.4100,8299294
